"April 18, 2021 at 06:01PM",ece477,18,73F,34%,50000
"April 18, 2021 at 06:04PM",ece477,19,73F,33%,50000
"April 18, 2021 at 06:06PM",ece477,20E7C||75F,,50000,
"April 18, 2021 at 06:09PM",ece477,21,75F,33%,50000
"April 18, 2021 at 06:12PM",ece477,22,75F,33%,50000
"April 18, 2021 at 06:14PM",ece477,100352,69.98468F,49.61%,261
"April 18, 2021 at 06:14PM",ece477,23,75F,32%,50000
"April 18, 2021 at 06:17PM",ece477,24J7C||75F,32%,50000,
"April 18, 2021 at 06:19PM",ece477,25,75F,32%,50000
"April 18, 2021 at 06:22PM",ece477,26,75F,32%,50000
"April 18, 2021 at 06:25PM",ece477,27,75F,31%,50000
"April 18, 2021 at 06:27PM",ece477,28,75F,31%,50000
"April 18, 2021 at 06:30PM",ece477,29,75F,31%,50000
"April 18, 2021 at 06:32PM",ece477,30||!7C75F,31%,50000,
"April 18, 2021 at 06:38PM",ece477,32,75F,���25,50000
"April 18, 2021 at 06:40PM",ece477,33,75F,31%,50000
"April 18, 2021 at 06:43PM",ece477,34,75F,32%,50000
"April 18, 2021 at 06:44PM",ece477,100353,70.01668F,49.84%,281
"April 18, 2021 at 06:45PM",ece477,35,75F,32%,50000
"April 18, 2021 at 06:48PM",ece477,36,75F,c1%,50000
"April 18, 2021 at 06:53PM",ece477,1,75F,34%,50000
"April 18, 2021 at 06:56PM",ece477,2,75F,32%,50000
"April 18, 2021 at 06:58PM",ece477,3,75F,33%,50000
"April 18, 2021 at 07:06PM",ece477,1,75F,32%,50000
"April 18, 2021 at 07:09PM",ece477,1,75F,32%,50000
"April 18, 2021 at 07:09PM",ece477,1,75F,32%,50000
"April 18, 2021 at 07:09PM",ece477,1,75F,32%,50000
"April 18, 2021 at 07:14PM",ece477,100354,70.27277F,50.24%,304
"April 18, 2021 at 07:14PM",ece477,1,75F,32%,50000
"April 18, 2021 at 07:21PM",ece477,1,75F,32%,50000
"April 18, 2021 at 07:23PM",ece477,2,75F,32%,50000
"April 18, 2021 at 07:25PM",ece477,1,75F,32%,50000
"April 18, 2021 at 07:27PM",ece477,2,73F,31%,50000
"April 18, 2021 at 07:28PM",ece477,1%oC%7C%7C73Ffvalue2=32%25,,50000,
"April 18, 2021 at 07:32PM",ece477,2M7C||73�,,50000,
"April 18, 2021 at 07:36PM",ece477,3,73F,32%,50000
"April 18, 2021 at 07:40PM",ece477,4,73F,32%,50000
"April 18, 2021 at 07:44PM",ece477,5,73F,32%,50000
"April 18, 2021 at 07:44PM",ece477,100355,70.52886F,50.83%,307
"April 18, 2021 at 07:48PM",ece477,6,73F,32%,50000
"April 18, 2021 at 07:52PM",ece477,7,73F,32%,50000
"April 18, 2021 at 07:56PM",ece477,8,73F,33%,50000
"April 18, 2021 at 08:00PM",ece477,9,73F,33%,50000
"April 18, 2021 at 08:04PM",ece477,10,73F,32%,50000
"April 18, 2021 at 08:08PM",ece477,11,75F,32%,50000
"April 18, 2021 at 08:14PM",ece477,100356,70.65691F,50.89%,306
"April 18, 2021 at 08:16PM",ece477,,32%,50000,
"April 18, 2021 at 08:20PM",ece477,14,75F,32%,50000
"April 18, 2021 at 08:24PM",ece477,15,75F,33%,50000
"April 18, 2021 at 08:28PM",ece477,16,75F,34%,50000
"April 18, 2021 at 08:32PM",ece477,17,73F,34%,50000
"April 18, 2021 at 08:36PM",ece477,18,73F,34%,50000
"April 18, 2021 at 08:40PM",ece477,19,73F,,50000
"April 18, 2021 at 08:44PM",ece477,100357,70.59289F,50.75%,301
"April 18, 2021 at 08:44PM",ece477,20,73F,,50000
"April 18, 2021 at 08:48PM",ece477,21,73F,,50000
"April 18, 2021 at 08:52PM",ece477,22|E7C|73F,36%,50000,
"April 18, 2021 at 08:56PM",ece477,23,73F,36%,50000
"April 18, 2021 at 09:00PM",ece477,24,73F,36%,50000
"April 18, 2021 at 09:04PM",ece477,25,73F,36%,50000
"April 18, 2021 at 09:08PM",ece477,26,73F,36%,50000
"April 18, 2021 at 09:12PM",ece477,27,73F,37%,50000
"April 18, 2021 at 09:14PM",ece477,100358,70.59289F,50.34%,289
"April 18, 2021 at 09:20PM",ece477,29,73F,37%,50000
"April 18, 2021 at 09:24PM",ece477,30,73F,,50000
"April 18, 2021 at 09:36PM",ece477,33,71F,37%,50000
"April 18, 2021 at 09:40PM",ece477,34,71F,37%,50000
"April 18, 2021 at 09:44PM",ece477,100359,70.65691F,49.98%,304
"April 18, 2021 at 09:44PM",ece477,,38%,50000,
"April 18, 2021 at 09:48PM",ece477,36,71F,38%,50000
"April 18, 2021 at 09:52PM",ece477,37,71F,38%,50000
"April 18, 2021 at 09:56PM",ece477,38,71F,38%,50000
"April 18, 2021 at 10:00PM",ece477,39,71F,38%,50000
"April 18, 2021 at 10:04PM",ece477,40,71F,38%,50000
"April 18, 2021 at 10:08PM",ece477,41,71F,38%,50000
"April 18, 2021 at 10:12PM",ece477,42,71F,39%,50000
"April 18, 2021 at 10:14PM",ece477,100360,70.52886F,50.47%,290
"April 18, 2021 at 10:16PM",ece477,43,71F,39%,50000
"April 18, 2021 at 10:20PM",ece477,44,71F,39%,50000
"April 18, 2021 at 10:24PM",ece477,45,71F,39%,50000
"April 18, 2021 at 10:28PM",ece477,46,71F,,50000
"April 18, 2021 at 10:32PM",ece477,47,71F,38%�5,50000
"April 18, 2021 at 10:36PM",ece477,48,71F,38%,50000
"April 18, 2021 at 10:40PM",ece477,49,71F,39%,50000
"April 18, 2021 at 10:44PM",ece477,100361,70.49686F,50.63%,291
"April 18, 2021 at 10:44PM",ece477,50,71F,39%,50000
"April 18, 2021 at 10:48PM",ece477,51,71F,39%,50000
"April 18, 2021 at 10:52PM",ece477,52,71F,39%,50000
"April 18, 2021 at 10:56PM",ece477,53,71F,39%,50000
"April 18, 2021 at 11:00PM",ece477,54||J7C71F,,50000,
"April 18, 2021 at 11:04PM",ece477,,40%,50000,
"April 18, 2021 at 11:08PM",ece477,56,71F,40%,50000
"April 18, 2021 at 11:13PM",ece477,57,71F,40%,50000
"April 18, 2021 at 11:14PM",ece477,100362,70.46484F,50.91%,291
"April 18, 2021 at 11:17PM",ece477,58,71F,40%,50000
"April 18, 2021 at 11:21PM",ece477,59,71F,41%Lvalue3=50000,
"April 18, 2021 at 11:25PM",ece477,60,71F,,50000
"April 18, 2021 at 11:29PM",ece477,61,71F,40%,50000
"April 18, 2021 at 11:33PM",ece477,62,71F,41%,50000
